ad_id,ad_type,real_estate_type,region,city,type,living_area,land_area,floor,building_year,price,seller
6836153,prodaja,stanovanje,podravska,melje,3-sobno,87.0,,3,2025,259400.0,"re/max avenija, nepremičnine maribor d.o.o."
6790697,prodaja,stanovanje,podravska,melje,4-sobno,127.2,,1/1,1909,199000.0,"re/max avenija, nepremičnine maribor d.o.o."
6836155,prodaja,stanovanje,podravska,melje,4-sobno,137.0,,3,2025,352500.0,"re/max avenija, nepremičnine maribor d.o.o."
6835627,prodaja,stanovanje,podravska,melje,3-sobno,152.8,,m/1,1960,219000.0,market center omnis d.o.o.
6617963,prodaja,stanovanje,ljubljana mesto,ljubljana,5 in večsobno,136.0,,2/2,1895,530000.0,sever nepremičnine matija sever s.p.
6756688,prodaja,stanovanje,ljubljana mesto,ljubljana,"3,5-sobno",137.1,,2/3,1874,449000.0,"re/max ljubljana, nepremičninska družba d.o.o. "
6580361,prodaja,stanovanje,ljubljana mesto,ljubljana,"4,5-sobno",138.15,,3/4,1905,1230000.0,zasebna ponudba
6779715,prodaja,stanovanje,ljubljana mesto,ljubljana,5 in večsobno,140.4,,8/10,1983,690000.0,"market center omnis d.o.o., pe nepremičninski center koper"
6763934,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,143.0,,3/3,1930,630000.0,"mreža&partnerji, nepremičnine, d.o.o."
6743911,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,145.0,,1/7,2023,1509180.0,tivoli d.o.o.
6783879,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,147.0,,3/7,2023,1538400.0,tivoli d.o.o.
6566573,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,151.0,,p,2003,900000.0,"stoja trade, d.o.o., ljubljana"
6741932,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,151.0,,p,2003,900000.0,altum ae group d.o.o.
6733459,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,151.0,,p,2003,900000.0,altum ae group d.o.o.
6627544,prodaja,stanovanje,ljubljana mesto,ljubljana,"4,5-sobno",170.0,,2/3,1861,835000.0,"stoja trade, d.o.o., ljubljana"
6788324,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,170.4,,5/6,2005,1490000.0,baza agencija d.o.o.
6821279,prodaja,stanovanje,ljubljana mesto,ljubljana,5 in večsobno,172.9,,1/6,1932,850000.0,baza agencija d.o.o.
6743861,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,174.0,,1/7,2023,1529300.0,tivoli d.o.o.
6826389,prodaja,stanovanje,ljubljana mesto,ljubljana,"4,5-sobno",175.6,,2/3,1907,485000.0,mesto nepremičnin d.o.o.
6829806,prodaja,stanovanje,ljubljana mesto,ljubljana,5 in večsobno,181.9,,1/4,1911,750000.0,baza agencija d.o.o.
